"wkreis_nr";"partei";"titel";"nname";"vname";"geb_jahr";"ges";"beruf";"wohnort";"listenplatz";"alter";"alter_kat";"name";"wkreis_2017_bez";"erststimm_perc";"MdL_2017";"stimme";"wahl"
"36";"SPD";NA;"Wolf";"Sven";"1976";"m";"Rechtsanwalt - zurzeit Mitglied des Landtages";"Remscheid";"7";"46";"45-54 J.";"Sven Wolf";NA;NA;"Ja";"zweitstimme";"Liste"
"21";"SPD";NA;"Durdu";"Tülay";"1974";"w";"Betriebswirtin";"Rösrath";"8";"48";"45-54 J.";"Tülay Durdu";NA;NA;"Nein";NA;"Liste"
"123";"SPD";NA;"Dudas";"Gordan";"1971";"m";"Mitglied des Landtages";"Lüdenscheid";"9";"51";"45-54 J.";"Gordan Dudas";"Märkischer Kreis III";"38,6";"Ja";"erststimme";"Liste"
"76";"SPD";NA;"Andrieshen";"Nina";"1980";"w";"Erzieherin";"Bocholt";"10";"42";"35-44 J.";"Nina Andrieshen";NA;NA;"Ja";"zweitstimme";"Liste"
"118";"SPD";NA;"Moor";"Justus";"1987";"m";"Pädagoge";"Hamm";"11";"35";"35-44 J.";"Justus Moor";NA;NA;"Nein";NA;"Direkt"
"128";"SPD";NA;"Stamm";"Christin-Marie";"1991";"w";"Bachelor of Laws";"Olpe";"12";"31";"25-34 J.";"Christin-Marie Stamm";NA;NA;"Nein";NA;"Liste"
NA;"SPD";NA;"Cordes";"Frederick";"1986";"m";"Mitglied des Landtages";"Oberhausen";"13";"36";"35-44 J.";"Frederick Cordes";NA;NA;"Ja";"zweitstimme";"Liste"
"39";"SPD";NA;"Müller-Witt";"Elisabeth";"1953";"w";"Dipl.-Volkswirtin";"Ratingen";"14";"69";"65-74 J.";"Elisabeth Müller-Witt";NA;NA;"Ja";"zweitstimme";"Liste"
"4";"SPD";NA;"Kämmerling";"Stefan";"1976";"m";"Bankkaufmann, Mitglied des Landtages";"Eschweiler";"15";"46";"45-54 J.";"Stefan Kämmerling";"Aachen IV";"38,6";"Ja";"erststimme";"nicht
ge-
wählt"
"71";"SPD";NA;"Meinhardt";"Sandy";"1981";"w";"Integrationskraft";"Dorsten";"16";"41";"35-44 J.";"Sandy Meinhardt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"82";"SPD";NA;"Sundermann";"Frank";"1965";"m";"Gartenbauingenieur";"Westerkappeln";"17";"57";"55-64 J.";"Frank Sundermann";"Steinfurt III";"40,7";"Ja";"erststimme";"nicht
ge-
wählt"
"9";"SPD";NA;"Reh";"Andrea";"1974";"w";"Schulleiterin";"Gangelt";"18";"48";"45-54 J.";"Andrea Reh";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"41";"SPD";NA;"Weske";"Markus Herbert";"1968";"m";"Mitglied des Landtages";"Düsseldorf";"19";"54";"45-54 J.";"Markus Weske";NA;NA;"Ja";"zweitstimme";"nicht
ge-
wählt"
"83";"SPD";NA;"Benadio";"Bibiane";"1977";"w";"Pflegedienstleiterin";"Münster";"20";"45";"45-54 J.";"Bibiane Benadio";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"90";"SPD";NA;"Dahm";"Christian";"1963";"m";"Polizeibeamter";"Vlotho";"21";"59";"55-64 J.";"Christian Dahm";"Herford I – Minden-Lübbecke III";"39,4";"Ja";"erststimme";"Direkt"
"48";"SPD";NA;"Spanier-Oppermann";"Ina";"1962";"w";"Mitglied des Landtages";"Krefeld";"22";"60";"55-64 J.";"Ina Spanier-Oppermann";NA;NA;"Ja";"zweitstimme";"nicht
ge-
wählt"
"126";"SPD";NA;"Molzberger";"Bernardo Adhemar";"1971";"m";"Examinierter Krankenpfleger";"Siegen";"23";"51";"45-54 J.";"Bernardo Adhemar Molzberger";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"30";"SPD";NA;"Möhlenkamp";"Magdalena";"1986";"w";"Rechtsanwältin";"Bonn";"24";"36";"35-44 J.";"Magdalena Möhlenkamp";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"124";"SPD";NA;"Neuhaus";"Frank";"1969";"m";"Obergerichtsvollzieher";"Arnsberg-Bruchhausen";"25";"53";"45-54 J.";"Frank Neuhaus";NA;NA;"Nein";NA;"nicht
ge-
wählt"
